vidName,stimSet,subName,description
Golf-golf1,Set1,Sub10,So there is a guy who's golfing he's wearing black pants and a black hat and white I mean sorry black pants and a black shirt and a white hat and he is swinging a golf club and then hitting a golf ball there is one golf ball that is like lined up from to hit and the rest of them are in a basket that is kind of been overturned so some of them are spilling out. 
Phone-calling1,Set1,Sub10,There's a guy on the phone this looks like.  the guy from kenan & peele I don't know but he's wearing a red sweatshirt that zips all the way up that has blue and white trim and he's holding a phone to his ear and talking and he kind of shrugs his shoulders at one point and is smiling and he's outside next to some buildings and there is a man walking away behind him. 
Cardio-spinning1,Set1,Sub10,So there's a guy who well there's like the group of people that are working out but you can mainly just see a guy and a girl the guys on the right and he has a black under armour shirt on and gray gym shorts and he's just biking away on his stationary bike and he has a green water bottle and what looks like since your microphone mouthpiece may be attached to the side of space and then the left it is a girl and she's wearing purple and white leggings and she is looking pretty happy she is a high ponytail on and she's also does biking away and they look like they're in some indoor spin class. 
Social-laughing1,Set1,Sub10,So there's a man and he is smiling and also laughing a little bit his teeth are super white he looks like he's in like a really dark room and the only thing that's lit is his face so you can't see any of the background around him and he is looking at something that's a little bit off camera and he's also shirtless. 
Garden-wateringPlants1,Set1,Sub10,So there's a woman she's wearing a pink shirt and she is watering some plants outside she has a green watering can and she's holding the cardinals glove on and she is just pouring water into a plant that's on some.  scaffolding type stuff on the side of her house and you can also see to french doors that are right next to her that lead into her house. 
FoodDrink-rollingDough1,Set1,Sub10,So there is a rolling pin and some dough and a person who's not in frame but you can see his hands is rolling out the dough and there's also a flower in the counter that you can see the counter is like a light wood counter. 
Crafts-knitting1,Set1,Sub10,So there's a person knitting and what they are doing is you can see you can only see their two hands and one hand is looping the yarn around run the needles and then the other hand is moving the top needle so that the bottom one was under it creates a stitch and the yarn is blue. 
HealthSelfCare-swallowPills1,Set1,Sub10,So there is a woman and she is staring into the camera and looks like she's putting a pill into her mouth and then drinking some water afterwards and behind here there's a dresser looks like she's in her bedroom and it's kind of messy there's a lot of random creams and lotions on the drawers. 
Wash-wash1,Set1,Sub10,Tow there to hand you can see and they are covered in soap and it just looks like a person washing their hands and the sink is running through really deep sink and it is white and they haven't put their hands in the water but it looks like they're about to. 
FoodDrink-chopping1,Set1,Sub10,So there is a person chopping carrots you can see the person you can only see the hand but there's one hand that's kind of holding the kids study and then there's a secondhand what you can't see but which is presumably holding the knife that is chopping the carrots and then there's some longer carrots that have yet to been cut that are on the side. 
EatDrink-drinking1,Set1,Sub10,Hey to there is a woman and she is holding a teacup in her right hand and in her left hand she's holding the saucer that goes at the teacup and the teacup is white and has some flowers on it and some of the saucer and she has a british flag behind her and then on her shirt it says bazinga and it's a red shirt with yellow lettering and she is taking a sip of the tea in the video right after saying something to someone off camera. 
Computer-computer1,Set1,Sub10,The person there's a man and he is sitting down on a red chair and looking at a computer he is typing typing something on a black keyboard there's another keyboard that is also in front of him but he is not using that one and he has glasses and he is balding a little bit. 
Games-videoGames1,Set1,Sub10,So there are two guys on they are looking presumably at a tv that's off screen and they both have a video game controllers in their hand and they are they look really into it and really intense they're moving their hands really quickly on the controllers and their faces look super excited and.  I think they're like yelling at one point and they both look like they're in their 20s. 
FoodDrink-stirring1,Set1,Sub10,And so there are there's a person whose off screen but you can see two hands and so left hand is stirring something inside of a bull hooks maybe like butter and brown sugar and then the right hand is holding the bull steady there are some other smaller empty glass bowls off to the side of the counter and then there's one bowl one small glass bowl that has. Maybe flower in it i'm going to spoon as well and then some chocolate chips and the arm that is stirring the mixture also has a watch on. 
FoodDrink-grilling1,Set1,Sub10,So there are two steaks they look I don't know like they've been cooking and there is a spatula comes into view and flips over one of the hands that kind of picks up the steak as it slips and then there is a second steak that the person looks like they're about to flip before the video ends. 
Travel-driving1,Set1,Sub10,So there is a man who is driving and we're inside the car with him he is turning the steering wheel a lot he's wearing a blue shirt and khakis and he is driving around what looks like the sperry forest diaria and yeah. 
Yoga-yoga1,Set1,Sub10,So there is a woman and she's wearing a green top and black leggings and she's doing some sort of yoga and she has both of her forearms down on the mat firmly and then she's kind of lifting up into almost a headstand but she's not using her head she's just using her for arms and one leg is straight up and then the other is kind of horizontal and then they both become horizontal. 
GroomingOneself-brushingTeeth1,Set1,Sub10,So there's a guy and he's brushing his teeth he has his mouth open and so you can see all the toothpaste has in his mouth and the toothbrush is white and he looks like he's in his twenties and he is staring at the camera as he brushes his teeth. 
IntClean-moppingfloor1,Set1,Sub10,So there's this older guy and he is sweeping the floor mopping the floor and he has jeans on and a green shirt and he is slightly walking backwards as he and lots of floor. 
Dancing-ballroomDancing1,Set1,Sub10,So there is it looks like it's a formal dance as in the main part of the frame there is a blond woman wearing a fancy white dress and she's approaching a man in black and white suit and he reaches out his arm and then she grabbed his hand and they look like they're about to start dancing and then in the background there's another couple a woman in a white dress with a little bit of like dark red trim and she comes up to a different man in a black and white suit and embraces him and incidents as well. 
Social-talk1,Set1,Sub10,So there is a woman she's wearing a floral shirt that has daisies on it and it needs a new background and she's staring right at the camera and kind of talking really intimate lee and moving her hands around she's wearing makeup and she looks very enthusiastic and excited and then behind her there looks to be like a little food weighing scale. 
Social-shakeHands1,Set1,Sub10,3. Three men in the main frame of the shot there other man kind of talking in the background with the main three men there is one guy who is reaching out to shake one guy's hand is across from him and the guys across from them grabbed his hand and shakes it and then there's a third guy who's next to the first guy who originally had his hand out and he looks like he's trying to talk to the man that's across from them and they're all kind of centered around a punchbowl maybe and they're outside and everyone's wearing suits so maybe it's a good company party yeah. 
HealthSelfCare-bandaid1,Set1,Sub10,So there is a hand that is at first holding part of a band-aid while the other hand takes the.  taper off of the band-aid to make it sticky and they then fold the band-aid over the thumb that was holding the band-aid down and press it down to make it stick to them. 
Dressing-buttoningShirt1,Set1,Sub10,So there is a pair of hands zoomed in to a men's button-up shirt and the hands are buttoning the middle button on shirts the button below it had already been buttoned the button on top had not and at the very end of the video the hands go to button the top button. 
Walk-walk1,Set1,Sub10,2 there is it looks like a crowded street of people and you can see a woman in a red coat kind of walking away from you and then in front of her this woman this blonde woman walking away and then towards us there are some men in suits there's a and a woman with a short haircut and yeah. 
Pets-walkingdog1,Set1,Sub10,Okay so there is a man with a dog and his kind of walking towards the camera there snow outside he's wearing jeans and a coat and a black shirt and the dog has a green leash and is walking right next to the man and they look to be in an area with mountains and trees and their walking by some houses. 
Groceries-groceryShopping1,Set1,Sub10,There is a grocery store when a grocery store and there is a woman that has her back to us that is walking with a grocery cart and she has a straw hat on and a long floral skirt and a white kind of shirt that doesn't cover her midriff and then there is another woman that's kind of coming towards us through the aisle there's two women that are kind of facing towards is in the aisle one than that right and then once in the left in the one on the left is a little bit closer as the one on the right is going to stop and getting something for michelle's. 
FoodDrink-Pour1,Set1,Sub10,So there is a man and he's wearing a suit with a purplish tie and he's pouring red wine into three wine glasses they all already have a little bit of wine in them but he is pouring from the wine bottle into the glass on the furthest right. 
IntClean-dustingTable1,Set1,Sub10,So there's a man who is sitting down on a black leather couch and in front of him there's a wood table and he is taking a rag and pressing it to the table and wiping maybe dirt off of the table and he has a black long-sleeve shirt on and jeans and he's wearing a watch. 
Reading-reading1,Set1,Sub10,There is a woman reading a book she is facing a window that outlooks a parking lot and she looks she's staring only at the book and as a video and she's about to turn a page. 
Run-running1,Set1,Sub10,So there is a man who's running he's wearing a blue shirt and blue and red shorts and he is running outside on a street and he's turning past some houses it's really bright and sunny out the houses have some trees and such and plants and all the houses are painted a light beige. 
TV-watchingTV1,Set1,Sub11,Man sits on his green chair watching tv. 
GroomingOneself-shaving1,Set1,Sub11,A man shaving his face. 
CaringChildren-playingPlayground1,Set1,Sub11,Child slides down a slide at a playground. 
IntClean-vacuuming1,Set1,Sub11,Someone is vacuuming a carpet. 
FoodDrink-bakingCookies1,Set1,Sub11,Somebody is rolling a ball of cookie dough in their hands. 
RacquetSports-playingtennis1,Set1,Sub11,Two people are playing tennis on an indoor court. 
Garden-gardening1,Set1,Sub11,A man is pulling up weeds. 
Basketball-Basketball1,Set1,Sub11,A man without a shirt shoot a basket and makes it. 
CaringChildren-babyCrawling1,Set1,Sub11,Baby is crawling around on the floor. 
Dancing-modernDance1,Set1,Sub11,Play woman dance together on stage. 
Crafts-painting1,Set1,Sub11,A man paints a blue sky like bob ross. 
Soccer-playingSoccer1,Set1,Sub11,A man in the yellow jersey scored a goal in soccer. 
Aerobics-aerobics1,Set1,Sub11,Two women are working out in a white room with plants. 
GroomingOneself-applyingMakeup1,Set1,Sub11,A woman is applying eyeshadow on her right eye. 
KitchenClean-washingDishes1,Set1,Sub11,Someone is scrubbing down a kitchen pan. 
Dressing-tyingTie1,Set1,Sub11,Can a blue shirt ties his yellow tie. 
Garden-mowingLawn1,Set1,Sub11,Someone pushes a red honda lawn mower to cut their grass. 
Weights-weights1,Set1,Sub11,Shirtless man lift a dumbbell. 
Pets-brushingCat1,Set1,Sub11,Is brushing up there cat. 
Laundry-laundry1,Set1,Sub11,Someone. Little towels washing machine. 
Write-writing1,Set1,Sub11,Writing in a journal. 
Dressing-puttingOnShoes1,Set1,Sub11,Woman is taking off tall black boots. 
FoodDrink-sautee1,Set1,Sub11,Cooking onions on a pan. 
Games-playingbilliards1,Set1,Sub11,Somebody. It's a cue ball and hits all of the other pool balls and a blue table. 
Bike-bike1,Set1,Sub11,Several bikers bike in a race. 
EatDrink-eating1,Set1,Sub11,A woman wearing a hat it's eating. 
Sleeping-sleep1,Set1,Sub11,A man lies and dad blinking his eyes and breathing. 
GroomingOneself-brushHair1,Set1,Sub11,Woman brushing her medium-length golden hair. 
Pets-playingDog1,Set1,Sub11,A man is standing on a block and his dog jumped up with him. 
Golf-golf1,Set1,Sub11,A man in a white hat is golfing at a driving range. 
Phone-calling1,Set1,Sub11,A man in a red jacket is talking on his cell phone on the sidewalk. 
Cardio-spinning1,Set1,Sub11,Two people are working out on a bike. 
Social-laughing1,Set1,Sub11,A man smiles and chuckles. 
Garden-wateringPlants1,Set1,Sub11,A woman is watering her porch plants. 
FoodDrink-rollingDough1,Set1,Sub11,Kohl's outdoor with a rolling pin. 
Crafts-knitting1,Set1,Sub11,Somebody isn't hitting using turquoise yarn. 
HealthSelfCare-swallowPills1,Set1,Sub11,Girl is swallowing a pill. 
Wash-wash1,Set1,Sub11,Somebody is washing their hands and wrists with soap. 
FoodDrink-chopping1,Set1,Sub11,Is coming up carrots with a kitchen knife. 
EatDrink-drinking1,Set1,Sub11,A woman in a graphic t-shirt sips tea in front of a british flag. 
Computer-computer1,Set1,Sub11,Email. Maple sure it's amusing his desktop computer. 
Games-videoGames1,Set1,Sub11,Two men are excitedly playing video games. 
FoodDrink-stirring1,Set1,Sub11,Someone is mixing together ingredients in a white bowl. 
FoodDrink-grilling1,Set1,Sub11,Somebody is grilling two steaks. 
Travel-driving1,Set1,Sub11,Man is driving very fast and swerving. 
Yoga-yoga1,Set1,Sub11,A woman is doing yoga in her home. 
GroomingOneself-brushingTeeth1,Set1,Sub11,Man is brushing his teeth. 
IntClean-moppingfloor1,Set1,Sub11,Man is mopping the floor. 
Dancing-ballroomDancing1,Set1,Sub11,Two women in white dresses walk up to me two men in tuxedos to dance. 
Social-talk1,Set1,Sub11,A woman in a flower shirt talks to the camera. 
Social-shakeHands1,Set1,Sub11,Shake hands at an outdoor fair. 
HealthSelfCare-bandaid1,Set1,Sub11,Is putting a bandage on their phone. 
Dressing-buttoningShirt1,Set1,Sub11,Buttons his gray shirt. 
Walk-walk1,Set1,Sub11,Lots of people are walking on a busy city street. 
Pets-walkingdog1,Set1,Sub11,Walked his dog on the sidewalk and it is snowing out. 
Groceries-groceryShopping1,Set1,Sub11,A woman in a big straw hat is shopping. 
FoodDrink-Pour1,Set1,Sub11,Inappropriate eye is pouring 3 glasses of wine. 
IntClean-dustingTable1,Set1,Sub11,Amen. Is wiping down a coffee table. 
Reading-reading1,Set1,Sub11,What is reading a book in front of a big window. 
Run-running1,Set1,Sub11,Man in a blue t-shirt runs down the road. 
Computer-computer2,Set2,Sub12,A man. In a yellow and blue striped shirt types on his desktop computer. 
Laundry-laundry2,Set2,Sub12,Someone dumps laundry detergent in their washing machine. 
Social-laughing2,Set2,Sub12,A young boy laughs. 
Reading-reading2,Set2,Sub12,A man reads a book in a library and moves his arm. 
FoodDrink-chopping2,Set2,Sub12,Cut up a green onion with a knife. 
Games-videoGames2,Set2,Sub12,An old man plays video games on his couch. 
FoodDrink-bakingCookies2,Set2,Sub12,Makes a ball of dough with their hands. 
HealthSelfCare-bandaid2,Set2,Sub12,2. Wrap a piece of tape around a finger. 
GroomingOneself-brushingTeeth2,Set2,Sub12,A man looks at himself in the mirror as he brushes his teeth. 
Sleep-sleep2,Set2,Sub12,A teenage girl and a sweatshirt falls asleep on the couch. 
RacquetSports-playingTennis2,Set2,Sub12,Play a tennis match. 
Soccer-playingSoccer2,Set2,Sub12,A man in a white shirt should say soccer ball but the goalie blocks it. 
Travel-driving2,Set2,Sub12,A man in a gray sweatshirt turns a car steering wheel. 
Weights-weights2,Set2,Sub12,Found a shirt lifts weights in his home. 
Dressing-buttoningShirt2,Set2,Sub12,A man buttons up his black button down shirt. 
IntClean-moppingFloor2,Set2,Sub12,I'm in a button up shirt.  mops a floor. 
FoodDrink-Pour2,Set2,Sub12,Someone pours milk into a cup of tea. 
EatDrink-drinking2,Set2,Sub12,A young girl drinks from a blue cup. 
Dressing-tyingTie2,Set2,Sub12,A man ties a black tie with white spots on it. 
Pets-walkingDog2,Set2,Sub12,A man in a brown sweatshirt walks his dog on the sidewalk. 
Cardio-spinning2,Set2,Sub12,People participate in a workout class using stationary bikes. 
GroomingOneself-brushHair2,Set2,Sub12,Someone brushes their long hair on their bed. 
Groceries-groceryShopping2,Set2,Sub12,A little girl in a purple headband watches the cashier check out her groceries. 
Dancing-modernDance2,Set2,Sub12,A male and a female dance on stage. 
FoodDrink-sautee2,Set2,Sub12,Isis and tosses white onions in a pan. 
TV-watchingTV2,Set2,Sub12,Watches the biggest loser on tv. 
FoodDrink-rollingDough2,Set2,Sub12,Someone gold out dough with a rolling pin. 
Garden-gardening2,Set2,Sub12,Thin man in a bucket hat plants.  a plant in a field. 
Basketball-basketball2,Set2,Sub12,Men are playing basketball and one man makes a foul shot. 
Crafts-knitting2,Set2,Sub12,Someone is knitting with a purple knitting needle and pink thread. 
IntClean-dustingTable2,Set2,Sub12,Down a wooden surface. 
Walk-walk2,Set2,Sub12,Men in suits walk on a dark street together. 
Dancing-ballroomDancing2,Set2,Sub12,Women dance on stage together. 
Dressing-puttingOnShoes2,Set2,Sub12,Woman with blond hair and glasses sits on her steps and puts on her black shoes. 
Yoga-yoga2,Set2,Sub12,Awol. Pink tank-top does yoga. 
IntClean-vacuuming2,Set2,Sub12,Someone's vacuums shredded paper off of a white carpet. 
EatDrink-eating2,Set2,Sub12,Man chu's. 
Aerobics-aerobics2,Set2,Sub12,Five women do exercises in a workout video. 
CaringChildren-babyCrawling2,Set2,Sub12,A baby crawls towards some toys. 
Garden-wateringPlants2,Set2,Sub12,1 waters there pink potted flowers with a watering can. 
Social-talk2,Set2,Sub12,A man in an office speaks to the camera. 
Games-playingBilliards2,Set2,Sub12,Someone shoots pool balls into a pocket. 
Social-shakeHands2,Set2,Sub12,Two men on a porch shake hands. 
GroomingOneself-applyingMakeup2,Set2,Sub12,A woman applies makeup to her face with a pink brush. 
Wash-wash2,Set2,Sub12,Someone who washes their hands. 
Bike-bike2,Set2,Sub12,A man on a bike rides on the road. 
CaringChildren-playingPlayground2,Set2,Sub12,A young girl with blond hair slides down a blue slide. 
KitchenClean-washingDishes2,Set2,Sub12,A woman washes a red bull with a sponge in her sink. 
Pets-brushingCat2,Set2,Sub12,Brushes their cat. 
HealthSelfCare-swallowPills2,Set2,Sub12,A young girl and a gray shirt drink some gatorade then puts a tablet in her mouth. 
Golf-golf2,Set2,Sub12,A man in a blue shirt swings a golf club. 
Write-writing2,Set2,Sub12,In a white sweatshirt writes with a mechanical pencil. 
Phone-calling2,Set2,Sub12,A red shirt with a patterned tie talks on the phone. 
Run-running2,Set2,Sub12,5 men race to finish a marathon. 
Crafts-painting2,Set2,Sub12,A man paints a blue sky like bob ross. 
FoodDrink-stirring2,Set2,Sub12,A woman whisk together ingredients in a large bowl. 
Garden-mowingLawn2,Set2,Sub12,A man mows his lawn. 
GroomingOneself-shaving2,Set2,Sub12,A man shaving his face. 
FoodDrink-grilling2,Set2,Sub12,Ace. And someone flips it. 
Pets-playingDog2,Set2,Sub12,A man looks down at his dog that runs to him. 
TV-watchingTV1,Set1,Sub13,Man watches tv while sitting in an oversized chair. 
GroomingOneself-shaving1,Set1,Sub13,Man shaves his lowther left cheek with a straight razor.  girl staring into his into the mirror.  with concentration. 
CaringChildren-playingPlayground1,Set1,Sub13,Child goes down a red slide haltingly at a playground. 
IntClean-vacuuming1,Set1,Sub13,Person vacuums a carpeted floor. 
FoodDrink-bakingCookies1,Set1,Sub13,Person shapes.  what appears to be a chocolate chip cookie dough into a ball. 
RacquetSports-playingtennis1,Set1,Sub13,People.  vale at a tennis court. 
Garden-gardening1,Set1,Sub13,Uproots a weed with a garden trowel. 
Basketball-Basketball1,Set1,Sub13,The shirtless man bounces a basketball and then shoots it into the hoop from the free throw line. 
CaringChildren-babyCrawling1,Set1,Sub13,Baby crawls on all fours. 
Dancing-modernDance1,Set1,Sub13,Man and a woman dance. 
Crafts-painting1,Set1,Sub13,Bob ross paints a happy blue sky. 
Soccer-playingSoccer1,Set1,Sub13,Yellow team scores a goal. Thanks. 
Aerobics-aerobics1,Set1,Sub13,Two women participate in an aerobics exercise class lifting their knees energetically the woman on her left has her hands on her hips the women on the right energetically moves her arms over head from side to side. 
GroomingOneself-applyingMakeup1,Set1,Sub13,Can women apply. You her. 
KitchenClean-washingDishes1,Set1,Sub13,Describes the inner.  rim.  have a cast iron pot with a scrubber brush. 
Dressing-tyingTie1,Set1,Sub13,Someone ties their own tie.  so yellow they have a blue shirt. 
Garden-mowingLawn1,Set1,Sub13,Man pushes a push mower down long as long. 
Weights-weights1,Set1,Sub13,The way muscle man lifts a dumbbell with his right arm. 
Pets-brushingCat1,Set1,Sub13,Person combs a prone cat using a purple column lifts up the cat's front right leg. 
Laundry-laundry1,Set1,Sub13,Flips out a blue towel and places that.  in a top-loading washing machine. 
Write-writing1,Set1,Sub13,Person writes into a notebook using a pencil. 
Dressing-puttingOnShoes1,Set1,Sub13,Woman removes her knee high boots while holding her left leg up. 
FoodDrink-sautee1,Set1,Sub13,Person sautes chopped onions in an oiled skillet with a wooden spatula. 
Games-playingbilliards1,Set1,Sub13,Person breaks billiards. 
Bike-bike1,Set1,Sub13,Bicycle on a paved road towards the camera. 
EatDrink-eating1,Set1,Sub13,A woman in victorian costume.  takes a bite of something small white and square perhaps a small cake. 
Sleeping-sleep1,Set1,Sub13,Lies in bed.  flutters his eyelids at the camera and. And inhales. 
GroomingOneself-brushHair1,Set1,Sub13,Woman brushes her hair with her right hand smooth sit with her left hand. 
Pets-playingDog1,Set1,Sub13,Man standing on top of a box as dog jumps onto the box and then goes under the man's legs and then.  turns around and goes through them again. 
Golf-golf1,Set1,Sub13,Woman takes a swing at a golf ball. 
Phone-calling1,Set1,Sub13,Man on a sidewalk talking on his cell phone. 
Cardio-spinning1,Set1,Sub13,People in a stationary bicycle.  people pedal on stationary bicycle. 
Social-laughing1,Set1,Sub13,And smiles and laughs. 
Garden-wateringPlants1,Set1,Sub13,Waters her plants.  just outside the door for home.  the green watering can. 
FoodDrink-rollingDough1,Set1,Sub13,Person rolls out dough with a wooden rolling pin.  approximately 10 in in diameter. 
Crafts-knitting1,Set1,Sub13,Person.  nits.  proximately the third row blue yarn.  approximately size 8 knitting needles. 
HealthSelfCare-swallowPills1,Set1,Sub13,The girl.  hold the pill that I camera puts it in her mouth the drinks water. Presumably. 
Wash-wash1,Set1,Sub13,Person lathers hands with soap in a sink wall the water runs. 
FoodDrink-chopping1,Set1,Sub13,Person.  finely diced carrots with a large chef knife. 
EatDrink-drinking1,Set1,Sub13,Woman sip something out of a mug with she lives with her right hand and holds a matching saucer with her left hand she says something and has the dejected expression. 
Computer-computer1,Set1,Sub13,Man sits at a computer.  and types on the keyboard while looking at the monitor. 
Games-videoGames1,Set1,Sub13,Two men enthusiastically play video games while making exaggerated facial expression. 
FoodDrink-stirring1,Set1,Sub13,During what looks like butter and sugar in a white ball holding the ball at the right hand and using the left hand to mix it. 
FoodDrink-grilling1,Set1,Sub13,Two steaks are on the grill someone flips one over exposing grillmarx. 
Travel-driving1,Set1,Sub13,Man.  drives a car.  steering to the left and right. 
Yoga-yoga1,Set1,Sub13,A woman kicks up from dolphin pose.  2.  a yoga pose I don't know the name of where her.  right leg is forward horizontal to the mat the left leg is back also horizontal to the mouth. 
GroomingOneself-brushingTeeth1,Set1,Sub13,The man. Has his front teeth and then his back right teeth with a toothbrush while foaming at the mouth. 
IntClean-moppingfloor1,Set1,Sub13,Mops the floor right to left left to right while walking backwards. 
Dancing-ballroomDancing1,Set1,Sub13,Two couples in formal wear begin the dance the women approach the men. 
Social-talk1,Set1,Sub13,Faces the camera and talks making exaggerated and facial and eye blinking motion. 
Social-shakeHands1,Set1,Sub13,Suited man shake hands.  over a table with a punch bowl and strawberries at an outdoor collegiate event. 
HealthSelfCare-bandaid1,Set1,Sub13,Someone.  takes the rapper off of a butterfly band-aid and then applies it vertically to the top of their right thumb. 
Dressing-buttoningShirt1,Set1,Sub13,Likely a man.  buttons.  the middle button and then starts towards the top button of his plaid shirt. 
Walk-walk1,Set1,Sub13,Leningrad walks on a crowded street. 
Pets-walkingdog1,Set1,Sub13,Man walks his dog down a sidewalk. 
Groceries-groceryShopping1,Set1,Sub13,Pictures of cart down an aisle of a grocery store on the right side of an aisle while she looks to her left and her right at the merchandise. 
FoodDrink-Pour1,Set1,Sub13,Man pours wine into three wine glasses. 
IntClean-dustingTable1,Set1,Sub13,Man wipes coffee table with a yellow hand towel. 
Reading-reading1,Set1,Sub13,Woman. It's a book.  by the window that overlooks a parking lot. 
Run-running1,Set1,Sub13,
TV-watchingTV1,Set1,Sub14,An old man is watching tv on his couch. 
GroomingOneself-shaving1,Set1,Sub14,Menace chafing. 
CaringChildren-playingPlayground1,Set1,Sub14,A toddler is sliding down at the playground. 
IntClean-vacuuming1,Set1,Sub14,Someone just using vacuum cleaner to clean the floor. 
FoodDrink-bakingCookies1,Set1,Sub14,Using both hands to shape up the cookie. 
RacquetSports-playingtennis1,Set1,Sub14,Two people playing tennis. 
Garden-gardening1,Set1,Sub14,- planting. 
Basketball-Basketball1,Set1,Sub14,Basketball player.  through with that ball in the hoop. 
CaringChildren-babyCrawling1,Set1,Sub14,Some baby is crawling on the floor. 
Dancing-modernDance1,Set1,Sub14,Two dancers performing. 
Crafts-painting1,Set1,Sub14,Tina sky pie using brush. 
Soccer-playingSoccer1,Set1,Sub14,Both players scored a goal. 
Aerobics-aerobics1,Set1,Sub14,Two women are exercising. 
GroomingOneself-applyingMakeup1,Set1,Sub14,A woman is showing how to do their makeup. 
KitchenClean-washingDishes1,Set1,Sub14,Someone is watching the pad. We have strong brush. 
Dressing-tyingTie1,Set1,Sub14,A video of show how.  to tie up the necktie. 
Garden-mowingLawn1,Set1,Sub14,Someone is mowing the lawn. 
Weights-weights1,Set1,Sub14,Topless man is weightlifting. 
Pets-brushingCat1,Set1,Sub14,Man is scratching the cast back. 
Laundry-laundry1,Set1,Sub14,Putting the clothes from the basket inside a washing machine. 
Write-writing1,Set1,Sub14,Noting down on the notebook. 
Dressing-puttingOnShoes1,Set1,Sub14,Woman is pulling out her long boo. 
FoodDrink-sautee1,Set1,Sub14,Trying the chopped onions in a pan. 
Games-playingbilliards1,Set1,Sub14,Menace playing pool. 
Bike-bike1,Set1,Sub14,Durham any site. There are many cyclist riding on mini bikes. 
EatDrink-eating1,Set1,Sub14,A woman is chewing the sex. 
Sleeping-sleep1,Set1,Sub14,Madness on his bed trying to sleep. 
GroomingOneself-brushHair1,Set1,Sub14,A woman is coming her hair. 
Pets-playingDog1,Set1,Sub14,A man is playing with his dog. 
Golf-golf1,Set1,Sub14,Golf players play on the field. 
Phone-calling1,Set1,Sub14,A man is talking on his phone. 
Cardio-spinning1,Set1,Sub14,People are riding indoor bicycles. 
Social-laughing1,Set1,Sub14,A man giggles. 
Garden-wateringPlants1,Set1,Sub14,A woman is pouring the water to our tree. 
FoodDrink-rollingDough1,Set1,Sub14,Shaping the dough. 
Crafts-knitting1,Set1,Sub14,Someone just showing how to knit. 
HealthSelfCare-swallowPills1,Set1,Sub14,This woman is demonstrating how to.  swallow a pill. 
Wash-wash1,Set1,Sub14,Washing both hands with the sun. 
FoodDrink-chopping1,Set1,Sub14,Cutting the carrots into tiny pieces. After slicing. 
EatDrink-drinking1,Set1,Sub14,A woman is drinking tea. 
Computer-computer1,Set1,Sub14,Typing on the keyboard as an input for to computer. 
Games-videoGames1,Set1,Sub14,Two men are playing video games. 
FoodDrink-stirring1,Set1,Sub14,Sing the material in the bible. 
FoodDrink-grilling1,Set1,Sub14,Flipping a steak over when it's ready. 
Travel-driving1,Set1,Sub14,Driver is doing his wheel. 
Yoga-yoga1,Set1,Sub14,Woman is doing yoga. 
GroomingOneself-brushingTeeth1,Set1,Sub14,Menace brushing his teeth. 
IntClean-moppingfloor1,Set1,Sub14,Clean the floor. 
Dancing-ballroomDancing1,Set1,Sub14,Men and women are about to dance. 
Social-talk1,Set1,Sub14,A woman is explaining something. 
Social-shakeHands1,Set1,Sub14,Benny each other for the first time. 
HealthSelfCare-bandaid1,Set1,Sub14,Peeling the bandit. Apply to the finger. 
Dressing-buttoningShirt1,Set1,Sub14,Man is sputtering the shirt. 
Walk-walk1,Set1,Sub14,
Pets-walkingdog1,Set1,Sub14,Man is walking his dog during the winter. 
Groceries-groceryShopping1,Set1,Sub14,A woman is shopping at the supermarket. 
FoodDrink-Pour1,Set1,Sub14,America. A menace pouring wine. 
IntClean-dustingTable1,Set1,Sub14,A man is cleaning the table with a car. 
Reading-reading1,Set1,Sub14,A woman is reading near the window. 
Run-running1,Set1,Sub14,A man is running down a hill. 
TV-watchingTV1,Set1,Sub15,Here is t an old bald man watching tv in his heart. Can I see an old man watching tv in his armchair. 
GroomingOneself-shaving1,Set1,Sub15,Curious young man cutting his birthday. German thing is for. 
CaringChildren-playingPlayground1,Set1,Sub15,Here I see a little child. 
IntClean-vacuuming1,Set1,Sub15,Should I see somebody using a vacuum cleaner. 
FoodDrink-bakingCookies1,Set1,Sub15,Can I see somebody preparing cookies. 
RacquetSports-playingtennis1,Set1,Sub15,Accuracy two boys playing tennis. 
Garden-gardening1,Set1,Sub15,Can I see a man extracting a plant roots from his garden. 
Basketball-Basketball1,Set1,Sub15,Tri r i c i a young man playing basketball. 
CaringChildren-babyCrawling1,Set1,Sub15,Here I see a toddler crawling. Is he. 
Dancing-modernDance1,Set1,Sub15,Curiosity do professional dancers in a competition. 
Crafts-painting1,Set1,Sub15,Body painting. 
Soccer-playingSoccer1,Set1,Sub15,Here I see a football match and a goal. 
Aerobics-aerobics1,Set1,Sub15,Until I hear I see two women doing gym. 
GroomingOneself-applyingMakeup1,Set1,Sub15,Here I see a woman. Painting that are high. 
KitchenClean-washingDishes1,Set1,Sub15,Here I see somebody watching a pun. 
Dressing-tyingTie1,Set1,Sub15,Eurycea man knitting is. 
Garden-mowingLawn1,Set1,Sub15,T r i c cutting grass. Can I see somebody cutting grass. Can I see somebody cutting grass. 
Weights-weights1,Set1,Sub15,Here I see a man. Doing weights. 
Pets-brushingCat1,Set1,Sub15,Cheer I see somebody like. 
Laundry-laundry1,Set1,Sub15,Ciara. Somebody heresy loading.  laundromat. 
Write-writing1,Set1,Sub15,Here I sit somebody writing keeping a notebook with a pencil. 
